transcripcion,efectiva,resultado_original,Tipo_Llamada
"Este es el servicio de comunicadores de... ¿Alguna vez ha sido bien? Por favor, déjate un mensaje después de...",0.0,Sin Clasificar,Saliente
"Buenos días. Muy buenos días. Por favor, la señora Luz Adriana. Sí, señora. ¿Con ella hablan? Señora Luz, ¿cómo está? Me presento. Mi nombre es Melanie Ramírez. La estoy llamando de asistencias con Facundi. ¿Cómo se encuentra? Muy bien. Muchas gracias. Mi gusto. Señora Luz, el motivo de mi llamada era para validar el estado de salud de Juan Sebastián, ya que el día de ayer se solicitó un médico de domicilio y queríamos saber el día de cómo se encontraba él. Pues, como se comentaba, sufrió un accidente y lo que nos dice la hospital es que como el cuerpo el dedito no es una fractura. Entonces, esta no es una estremita y pues medicamente pues todavía tiene pues el morado la inflamación, pero yo creo que es como cuestión de darle tiempo para que si se empieza a desinflamar. Listo, perfecto, señora Luz Yontemano, pues agradezco mucho la información. Sin embargo, recuerde que si necesita alguna asistencia adicional para el menú, se puede volver a comunicar sin ningún problema. Listo. Ok, muchas gracias. Con todo gusto. Hasta luego, que estén muy bien.",0.0,Contactado,
"Hola, buenos días. Hola, muy buenos días. Me comunico con la señora Graciela. ¿La señora? Señora Graciela, me presenta mi nombre es Paulina, ¿me tienes alusiones como estas? ¿Cómo te encuentras? Bien, señora. Me alegra mucho, me lo he escuchado. Señora Graciela, el motivo principal de mi llamada es porque me has escrito por WhatsApp que te he dicho que mi información es sobre el plan de movilidad y se las ha exactamente el plan es para ti, para algún familiar, tienes carro, moto... No, no tengo ningún alabo. Ok, en este caso, señora Graciela, cada vez buscan información, de pronto para un plan de salud, mascotas, hogar, porque principalmente los que se aprenden movilidad. No, no, no, sí, tengo mi seguro. No, te imprisiones que no estamos hablando de la DPS sino que es un plan asistencial, ¿sí? Algo mejor que la DPS, señora Graciela. No, no, señora, muchas gracias. Es porque en este caso los escribiste y tú misma estás solicitando información. Ah, no, no. ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos? ¿Vos?",0.0,Contactado,Saliente
"¿Aló? ¿Aló? ¿Me buenas tardes? Buenas. Mucho gusto, es que hace poco nos comunicamos con un señor Rodrigo Marín comentándonos que como se dice, cuanto a interesantes van a asistir para más frutas, ¿Claro? Sí, mírame. Sí, pero él él él le dice que escogió a mi y me empezaron a hablar en inglés, entonces él me le dio como es conciencia. Y me dijo no, y tal, eso no es en fin, y le dió una escasa que se nos da cuenta y yo le di a como así, que no me acuerdo. Sí, lo que pasa es que yo ahorita me comuniqué con él vía llamada telefónica. Entonces, en este caso pues me comentó que pues si se encontró interesada en eso, plan asistencial pues para la mascota y que su mes estaba valiando, digamos, como, eh, gente para vendernos todos los, los, pues los datos de la mascota para hacer la respectiva activación. ¿Cuál es el caso? Sí, pero yo le dije que hasta el sábado no podía. Hasta el sábado? Sí, acuérdese que yo le dije que hasta el sábado. Vale, dice. Sábado, pues está el señor, yo... y me comunico con ustedes y... y... y acabamos el video. Vale, de igual manera yo agente al señor Rodrigo Marín. Sí. En este caso, pues yo me comunicaría con él el sábado y si se gustan, pues los dos... Entonces, a través de este medio el sábado, si se encuentran los dos, mejor para hacer ambos, pues, todas las evaluaciones, en los dos centros, que es algo muy seguro. De igual manera, no se repapelen ningún tipo de actos en sí, pero así se encarce un poco más tranquilo sobre ese lado. Claro. porque el que crece a ese hombre... Ah, vale, listo, no es delgado, entonces el sábado me comunicaría nada más que a ustedes, ¿vale? Háganle que lo haga. Bueno, les agradezco mucho que tengan un excelente día, hasta luego. Igualmente.",0.0,Contactado,Saliente
"alo muy avanzante por por el señor Humberto Puentes con el Humberto como estas? te hablame de mi Ramirez de asistencia sonfocundi como te encuentras? hola señorita como estas? muy bien gracias tu como estas? pues a mi recuperando maravilloso si Humberto el motivo de mi llamar como te haces para olvidar como sigues de salud? como te sientes? tienes alguna novedad? no pues a mi te estoy a reposo todavía porque que ayer vino la de y me valoró bien que tuviera más de un reposo porque estaba estresada. Bueno, de todas maneras recuerda que si llegas a necesitar nuevamente el servicio, te puedes volver a comunicar sin ningún problema, ¿listo? Listo, mi reino, muchas gracias. Bueno, con todo gusto, claro que tengas un buen día, cero.",0.0,Contactado,Saliente
"Hola ¿Tienes una llamada para el transcurso de las 11.30? Y me puedes hacer enterrar la llamada, ¿ok? Uh-huh. Ok. Dale, miren, este tiene su suerte.",0.0,Sin Clasificar,Entrante
"Habéis tenido un correo directo que te han indicado que tenés a por ciento por ciento de descuento en cualquiera de los libros que manejamos nosotros por su experiencia del ángel. Sí, y nos teníamos que encontrar como el de Mascote, a lo mejor aquí. no era, porque toda la idea es que... ¿Cuántos años tenías tu matruta? ¿O sea que solo retenes la narquita por el tener que ir a la iglesia? y los bloggers que están en el transporte. y Si, directamente eso es lo que incluye el plan, por entre 19 y 30 meses lo puedes obtener, pero ya lo que es la limpieza ahora ya sería parte. Ah, no, ya sabes que es la limpieza ahora, por eso. En este momento se desconectó el proceso, por eso. No, ya la limpieza sería parte ahí también, pero si esto que viene de la CUN, pues mira que se queda súper económico. Por que igual la parte de la limpieza ahora es por eso. Yo le estoy buscando una de esas dinarias para que me haga la... la lente. de la izquierda que tengo lo demás, si nada, es como un tráiler. Sí, está bien, entonces voy a anunciar el sistema y si te vuelves a convocarte ya miramos si es cuando está el buonosco, cuando esté abriendo la universidad, ¿listo? Ok. Listo, vale, pues luego.",0.0,Contactado,Saliente
"Hola, buenas noches Hola, ¿cómo estás? Muy bien, gracias. Disculpa, me hace un par de minutos tu comunicación con él o con el señor Juan Pablo. Sí. De acuerdo, le comenté que me estaba notificando la profesional que la señora Erika no compre. Ah, bueno, entonces sería que después te me puedes marcar a mí. Sí, claro que sí. Perfecto, ya entrego entonces tu nombre. Dale, te agradezco. Bueno, con todo el gusto.",0.0,Contactado,Saliente
"Hola, Diana, ¿cómo está? Estaba en la estandardana. Estaba en la estandardana. Casa o conjunto? Es una urbanización. ¿Cómo se llama? Parque Real 1. ¿Parque Real 1? Tunal. Perfecto. Una urbanización se llama Parque Real 1, Tunal. Sí, sí, señora. Tienes al bestor... Al lado del parque, ese Tunal. Tienes al bestor, número de casa, apartamento. Eso es... Lo que... Espera un segundo. Tranquilo, no te preocupes. Tómate su tiempo y ya te suelo. Interior 32, 301. Parque Améxico, 301. Interior 32. Perfecto. Entonces en este momento voy a validar disponibilidad y más o menos entre 5 a 10 minutos me comunico nuevamente contigo para indicar qué tiempo ya arribó el profesional y nombre del profesional. ¿Listo? Vale. Muchas gracias. Con todo gusto. Claro que sí. Te deseo que te colaboren en algo más que entras tanto. Bueno, con todo gusto. ¿Qué tal? Moina, ¿qué te parece?",0.0,Contactado,Saliente
"Buenas tardes, bienvenida a la línea de tele, tiene soluciones, le hablaba Daniela Angelo si en que le puedo colaborar Hola Daniela, me ha dado una prueba, le he desladado contigo, no le hay soluciones Es que me aparece solo asistencia médica Vale, va a mirar ahora Vale, gracias",0.0,Sin Clasificar,Entrante
"Hola, buenas tardes. Hola, buenas tardes. Hola, habló con Andrés, ¿es la tía Ároga? Sí. Hola, Andrea, ¿cómo estás? Te habló a Melanie Ramírez, ¿se le tiene soluciones, cómo te encuentras? Bien, gracias. Me da muchísimo gusto. Andrea, de antemano, primero quiero sumarizar contigo la asistencia con el profesional. Queríamos validar si la asistencia hoy de de manera correcta, si te trataron bien, si pudiste consultarles o salir de dudas. No mucho, pero él me dijo que iba a remitir para que viniera alguien aquí al trabajo, al trabajo, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, al, o Santa Anderpiz o 3. Así es. Listo, de acuerdo. Entonces, en este momento voy a evaluar la disponibilidad y entre 5 a 10 minutitos me estaría nuevamente comunicando contigo para indicarte el tiempo de arriba del profesional y el nombre del profesional. ¿Listo? Eres muy amable. Muchas gracias. Con todo gusto. Claro que sí, Andrea. Que estés muy bien.",0.0,Contactado,
"Hola, muy buenas tardes, tengo que convicarme con Sujay Pérez. Me parece bien. Mucho gusto, Sujay, te saludé a alguien de los 5, que es el de QN, ¿soluciones como estás? Hablo con la tía. Ah, ok, perfecto, en este caso, me voy a confirmar en qué momento la Carlosito ya volverá a contactar con ella, la que es para reanudar, y es para mantener en el disfro nuestro plan asistencial para mascotas. Ella dejó el registro en una pregunta publicaria que nosotros le estamos en Facebook y ya dejo el registro de vuestra información. No señor, yo le doy la razón, muchas gracias. Dale, papá que leo, dale, sabe, usted tenga suerte.",0.0,Contactado,Saliente
"Hola, buenos días, hablás con Ferly de Navidad. Sin embargo, nosotros no trabajamos directamente en Compacom, bien, son cursos que te puedo brindar de... Ah, bueno, estamos en... ¿Cómo? Perdón. Directamente de Compacom, bien, para que los puedas...ar y ellos te puedan asesorar para poder apuntar a los dos menores a la caja de compensación. Ah, ok, perfecto, sí, claro. Listo, entonces te confirmo. ¿Tienes un venotaje? Sí. De acuerdo, entonces te confirmo, son dos números. El primero es netamente para llamar. Listo, es 300... 300... 912-1-71-60 te lo confirmo 3192-716-0 perfecto y te confirmo el whatsapp es 321-920-6691 te lo confirmo otra vez 321-920-6691 ay Galdi muchas gracias con todo gusto claro que si que tengas un buen día gracias igual",0.0,Venta,Entrante
"Buenos días. Hola, muy buenos días. Mase comunicando a la domicilia de la línea de asistentes. Sí. Mase comunicando con la asistente que estamos verificando la disponibilidad para el servicio médico domicilio. En este momento, mi licencia, tenemos falta de mandada de solicitudes, por lo que el servicio se podría prestar a las 3 y media de la tarde. OK. Perfecto. Unirte, entonces, vamos a proceder a agendar. Por favor, restar muy atenta a la línea celular, porque se estarían comunicando con usted en cualquier momento. ¿Listo? Vale, muchas gracias. ¿Puedo confirmar, por favor, la prensa de nacimiento del menor para la estereoclínica? 24 de febrero del 2023. Listo, perfecto. Muchas gracias por favor. Se lo pongo a la línea celular. Bueno, gracias a usted.",0.0,Rechazado,Saliente
"Su llamada ha sido enviada a un sistema de mensaje automático. No está disponible. Al decirlo, por favor, recorda su mensaje. Cuando hayas terminado de grabar, puedes levantarte o presionar 1 para más opciones.",0.0,Sin Clasificar,Entrante
"Aló, muy buenos días, mucho gusto, te saludé, Jimmy Rusin, que es el Echine Soluciones, ¿cómo estás? ¿De qué? Echine Soluciones, me comunico contigo, porque es un registro en Facebook, buscándole información sobre nuestro plan asistencial para mascotas, ¿te acordas del registro que realizaste? No, si no he registrado ningún registro. Mira, déjate comentar el registro a las 9.30 de la mañana, en este escenario, es un plan asistencial para tu ma... para tu mascota, ¿tú cuéntate qué mascota es? ¿Tienes más? ¿Nas? No, no. No me acuerdo de que te explique. Vale, me dice que no hay. Ok, entiendo. Me llamas después de tener vida más. Pero, pringas, gracias por estar.",0.0,Contactado,Saliente
"Hola, muy buenos días. Hola. Muy buenos días, me gusta contestarme con Carlos Alberto Soria. Sí, quién habla. Carlos, mucho gusto, te saludo, allí me dicen que seleccionas soluciones, ¿cómo estás? Muy bien. Sí, me alegra bastante que se den muy bien. Le estoy contestando contigo por gira sin registro, en Facebook gusta la información sobre nuestro plan de movilidad, gustaría variar, si usas para movilizarlo, sí. Ah, bueno, si no lo sabes, pero, o sea, Me gustaría como tiempo. ¿Qué me entiendes? ¿Será que mañana que estoy en pico y placa me puede meter a hablar? Yo no me duelo más de tres minutos de la información. Puedes con el tiempo, no sé, los minutos. O mira, te puedo compartir la información por WhatsApp, para que la pueda liar y así podamos ya lo que hable en proceso. ¿Te parece? Claro que sí. Claro que sí. Me encantaría ir dando la pregunta. y compartiré con usted las informaciones de nuestra asistencia del plan. Ya te confirmo. Ok. Listo, perfecto. Sí señor, corre si no lo hagas y comparte la información vía WhatsApp, ¿vale? Para que la puedas valer y... y vamos al proceso por ahí para que puedas atenderla además. En ese caso por este medio de donde está. ¿Listo? Me vamos a leer, gracias.",0.0,Venta,Saliente
"Después del tono, grabe su mensaje. Juan Pablo, muy buenas noches, me llamo Cristina de la Nivega, mi red es la que se comunica cuando ella tiene soluciones. El motivo de mi llamada es la probabilidad de dar como si ella estaba en salud. Luciana, el día de ayer se solicitó un médico, mi hija queríamos saber el día de ella como había amanecido. Recuerda que si tienes alguna novedad con respecto a servicios y necesitas que apoyamos en algo adicional, te puedes volver a comunicar sin ningún problema. Que es una excelente vida, hasta luego.",0.0,Sin Clasificar,Entrante
"Este número no es de él o en qué línea me puedo contactar con él? No, aquí. Aquí lo comunicamos dos, tres personas. Correcto, listo, sí señor. Entonces yo voy a contactarme con él que tengas una excelente día. Que estés bien, hasta luego. De parte de quién? De Celetina. De quién? De Celetina. Entendí. Bueno, gracias. Feliz día.",0.0,Rechazado,
"¿A lo bueno, tía? Sí. Mucho gusto hablar con tu banca, por desle, tiene que asistir. Estoy hablando con la señora Natalia Torres. ¿No te escuché de dónde? Desle tiene que asistir. Ah, sí. Lo que parece que me comunico para confirmar si asiste a la limpieza que tiene asignada para mañana. Sí, sí, tiene. Listo, perfecto. Entonces estaremos en contacto nuevamente mañana para recordar nuevamente la cita. Y, pues, ante cualquier novedad, estamos atentos.",0.0,Contactado,Saliente
"¿Halo, mi buenos días? ¿Halo, mi buenos días? y nos ha gustado mucho la notación que ha hecho el guay.",0.0,Sin Clasificar,Saliente
"Hola. Hola, muy buenas tardes. Me comunicó con la señora Liz Ber. Sí. Señora Liz Ber es mi presenta, mi nombre es Paola Lampestrán, ¿te la tienes soluciones? ¿Cómo estás? Pues así, bien queda. Me alegra mucho haber escuchado esto, señora Liz Ber. El motivo principal de mi llamada es porque me sacaste escribir por WhatsApp. Política mi información, es el plan asistencial para mí. ¿El plan es para ti o para alguna familia? y para una amiga. Para una amiga, ok. ¿Y qué vehículos tiene tu amiga? ¿Carro, moto? Pues no me ha dicho bien, seguro todavía acabo de salir y no sé todavía bien qué es lo que se quiere. Pero sé a mi vida. ¿Qué quiere? Volemos llamar para comunicarme con ustedes cuando yo ya vea bien lo que quiere, ¿sí? ¿Y ese número tiene WhatsApp, señora Liz Beren? Lo que yo le dije, hay mentiras, no sé nada de esto, es que ella la preguntó más con esto. O sea, tú me eres más que la víctima. Sí, yo tengo este teléfono pero no lo ocupo para nada, para nada, lo mencionan las ellas. Ok, vale, perfecto. A mí te das muy amableza, te lo diré hasta luego. Bien, bien, con la invitación, por favor, gracias.",0.0,Contactado,Saliente
"Hola, ¿cómo estás? Me presento, mi nombre es Melanie Ramirez, estoy comunicando y estoy haciendo soluciones. ¿Cómo te encuentras? Bien, gracias. Me da mucho gusto. Mariana, te va a quitar mucho tiempo y me has ido a mis llamaderas para avaliar cómo seguía Laura. Sí, se me da. Ya mejor, ya me ha llegado a registrar una pasta. Ya mejor. Listo, perfecto. Te agradezco mucha información, sin embargo, recuerda que si llegan a necesitar nuevamente las licencias se pueden volver a comunicar un problema. ¿Listo? Lista. Bueno, que tengas un buen día. Hasta luego.",0.0,Contactado,Saliente
"¿Aló? ¿Aló, sí? ¿Qué le va a saber? ¿Cómo nos lo creen? ¿Me dijo que lo asistió el día de hoy? Estuvo bien ¿Alguna novedad de la información? ¿Usted claro? Sí señor, todo fue claro De acuerdo, señor, el día de mañana se le va a dar contacto con usted con experiencia de saber cómo sigue el estado de salud ¿De acuerdo? Listo, sí señor Le deseo un buen día, que esté bien Vale, muchas gracias Con todo gusto",0.0,Sin Clasificar,
"Hola, muy buenos días. Buenos días. María, mucho gusto hablar con Nicolás Tobar, asistencia con Facundi. ¿Cómo? Hablas con Nicolás Tobar, asistencia con Facundi. Sí. El motivo mío es más que quiero saber cómo te encuentras de estado. ¿Sale el día de hoy? Bien, gracias. Adiós. Me alegra mucho. Recordarte también que la línea está disponible 24-7 para cualquier nada que puedas ayudar a presentar, ¿de acuerdo? Vale. Sí, un buen día. Pronta recuperación. Que estén muy bien. Gracias María. Gracias igualmente.",0.0,Contactado,Saliente
"Hola, hola, muy buenas tardes, tengo que contactar con Rodríguez. Sí, con él. Quiero mucho gusto que saludas y nos interese en el que tenés soluciones con estas. Muy bien, muchas gracias. Me comunico contigo porque a tu registro en Facebook buscan información sobre nuestro plan de salud, el cual se llama cuidar mi salud.",0.0,Sin Clasificar,Saliente
"Hola, buenas tardes. Hola, buenas tardes. ¿Hemos visto contactos con Rusaura? Hola, buenas tardes. ¿Hemos visto contactos con Rusaura? Sí, que todo pronto. Rusaura, ¿por qué no has estado contigo? Ok, entiendo. Mira, me he estado contigo porque en su registro en Facebook buscan información sobre nuestros planes asistenciales, complementarios. Todo bien. ¿Qué puede valer? ¿Cómo va a ser? Por favor, por allá me estoy atropellando.",0.0,Contactado,Saliente
"alo alo buenas tardes hola buenas tardes mucho gusto hablar con Johan Cáceres de la tele que no te asiste estoy hablando con la señora María Fernanda ¿ya? sí señora María Fernanda lo que pasa es que tenemos una solicitud de un traslado para Soran y Hernán del Garzón ¿y a dónde? no me indicaron si es a la tele de Acer nos va llevándose a Ligia para colaborarles con el vehículo no es una ambulancia Mira, lo que pasa es que yo voy a recogerla hasta en el... donde ya había servido inicialmente, pero no sé cuánto se demoren o si queda más fácil atenderla ahí y nosotros sí le vamos a acercar al centro mayor. Mira, lo que también me reportaron que lo recomendaba de eso es la opción de llevarla a un centro cínico donde hasta los clientes no se sitieran en el sitio. Espérame, yo hablo con Nígoma porque no se ha ido la mente media ¿Por qué me están esperando para llegar? No sé tú, ¿qué me recomiendas? Porque la verdad es que estado está esa. Mira, pues, a mí me notificaron que ella está intoxicada, pero no sabemos a la razón de qué. Pero, no sé si a cuánto tú estarías de llegar para coordinar el servicio de kaipai. Ya la única... Yo estaría llegando en... 15 por lejos 15 a 20 minutos a la universidad donde yo trabajo ¿Te parece que se te comunica nuevamente aproximadamente a las 15 para confirmar? Listo, si, segura, llámame a las 15 y cuarto y yo te digo que se acerque Listo, vale, entonces estaremos en comunicación Listo, gracias Con todo el gusto, hasta luego Vale, hasta luego",1.0,Contactado,Saliente
"Hola, muy buenos días, como dice cuando escarme con Nelson Castillo? Hola, escucho, estoy haciendo un semáforo, hablé mucho. Si lo recuerdo, lo saludas y me rucinqué, ese tiene soluciones, ¿cómo estás? Estoy haciendo un semáforo.",0.0,Contactado,Saliente
